,price
55935,410000.0
14915,579000.0
66531,325000.0
44833,998000.0
20568,889000.0
67278,475000.0
55191,1350000.0
11333,658000.0
49191,1375000.0
14225,899000.0
2124,414000.0
30586,595000.0
25846,899000.0
62360,649990.0
66799,380000.0
3748,948000.0
50790,859000.0
56204,569000.0
14401,765000.0
68558,250000.0
49550,1149900.0
20093,699999.0
65136,665000.0
17247,474999.0
66078,649950.0
41853,154900.0
29747,319000.0
17568,190000.0
38134,260000.0
16212,515000.0
49233,1699000.0
9104,789900.0
65739,442775.0
51454,1625000.0
50670,570000.0
15284,160000.0
42520,395000.0
59441,559000.0
23994,649000.0
15375,699888.0
26009,469000.0
53887,570000.0
67656,567935.0
65135,824900.0
62964,649000.0
46200,925000.0
24928,465000.0
46175,499000.0
28412,449999.0
8644,880000.0
35579,875000.0
54600,703800.0
14577,948000.0
14868,160000.0
37423,294000.0
59978,265000.0
68679,60000.0
5945,699999.0
50564,968000.0
21477,1148000.0
9073,789990.0
48054,895000.0
7331,800000.0
49268,365000.0
28410,245000.0
35479,850000.0
4250,1098800.0
20149,900000.0
34312,799000.0
52799,600000.0
42184,769000.0
34770,1788800.0
38761,849000.0
58839,355000.0
33276,684900.0
31875,409900.0
3024,1800000.0
13973,599900.0
53344,565000.0
10695,1275000.0
20031,847000.0
34481,1800000.0
4309,850000.0
39389,60500.0
16714,665000.0
21983,724999.0
67739,195000.0
62445,524000.0
46436,995000.0
63378,539000.0
31180,574900.0
44114,1401592.0
30973,499700.0
40302,1090000.0
1686,1050000.0
22393,184000.0
51774,1319000.0
9496,1072000.0
61561,1050000.0
18581,756500.0
40802,725000.0
11587,849500.0
63193,677876.0
17499,369999.0
61872,47000.0
4234,749000.0
5477,610000.0
41859,265000.0
43503,565000.0
67693,429000.0
13344,1799000.0
54276,220000.0
58342,369000.0
16120,529000.0
16061,620000.0
38205,330000.0
68440,185000.0
14550,1150000.0
59136,297900.0
46341,799000.0
57623,789000.0
32385,285000.0
17434,450000.0
33284,520000.0
4010,635000.0
60163,35000.0
2705,670000.0
2469,699000.0
27812,385000.0
55026,1299000.0
50232,419950.0
56687,365000.0
35523,839000.0
54895,949900.0
27613,495000.0
59603,535000.0
26650,1595000.0
10852,1199950.0
36541,493755.0
26910,639999.0
35981,480000.0
32295,245000.0
1332,1350000.0
33888,1108000.0
3108,575000.0
20053,379000.0
53267,1248995.0
57318,385000.0
52144,999000.0
33739,459000.0
23290,329999.0
58270,525000.0
48934,2098000.0
51799,1025000.0
26639,1395000.0
8156,389000.0
15437,350000.0
35064,619900.0
7109,539000.0
39987,459954.0
44386,1598000.0
61676,270000.0
45765,545000.0
63429,650000.0
32038,280000.0
26422,349000.0
51423,548888.0
9863,659900.0
21009,219000.0
40362,529900.0
67664,639000.0
20898,899999.0
57617,289000.0
35657,1395000.0
27852,729000.0
18572,799000.0
50511,850000.0
43607,510000.0
43361,550000.0
57804,409000.0
45039,1398888.0
194,799000.0
30238,625000.0
11689,950000.0
23963,1200000.0
14907,538000.0
27854,677000.0
18254,849900.0
27964,450000.0
55177,1999888.0
51588,1199000.0
28178,650000.0
41939,379000.0
4236,1595000.0
47288,1378000.0
33985,1450000.0
59455,300000.0
39031,985000.0
60661,639000.0
66896,715000.0
58445,748000.0
60349,165000.0
30996,733990.0
50806,579950.0
35185,890000.0
53924,485000.0
25222,98500.0
59031,330000.0
42098,450000.0
45920,549000.0
41707,400000.0
67529,279900.0
36457,329000.0
54376,699000.0
9976,699000.0
47295,1650000.0
48420,549000.0
4824,899000.0
20426,370000.0
26467,450000.0
65003,405000.0
40223,339999.0
47545,349000.0
15634,385000.0
28630,318000.0
12620,1050000.0
60907,240000.0
67374,299400.0
24748,469000.0
11308,685000.0
14208,699000.0
35751,118000.0
40534,750000.0
12517,1100000.0
56146,499999.0
41115,407990.0
44221,1595000.0
6422,799000.0
36389,380000.0
36412,765000.0
10989,889000.0
55959,270000.0
2717,1995000.0
51472,799000.0
61799,699000.0
1615,730250.0
37949,359000.0
27278,999999.0
59738,1200000.0
8985,2000000.0
51437,964500.0
4932,659000.0
55497,120000.0
18776,229000.0
19738,765000.0
11223,699000.0
42247,565000.0
68568,257000.0
35914,210000.0
10278,850000.0
54062,1400000.0
18076,849900.0
1327,870000.0
4922,1100000.0
13035,715000.0
60502,425000.0
53318,632000.0
68497,399500.0
67971,129900.0
11591,1100000.0
64353,249900.0
59917,625000.0
51873,495000.0
68192,339000.0
50947,550000.0
6787,1350000.0
27933,315000.0
32384,225000.0
42957,450000.0
36519,319000.0
64726,850000.0
4333,599900.0
43700,408000.0
34315,1150000.0
65030,450000.0
42373,268500.0
36292,339000.0
16293,349900.0
5179,799000.0
68653,259000.0
65391,565000.0
39098,220900.0
13504,899000.0
67153,275000.0
13662,740000.0
47910,539999.0
52261,1098800.0
7146,795000.0
19883,1499900.0
65072,549900.0
7173,799000.0
52839,817953.0
5881,725000.0
48499,899000.0
62155,1585000.0
45857,1595000.0
54467,429000.0
26590,339000.0
27889,765000.0
68300,895000.0
15705,620000.0
43998,789000.0
39268,625000.0
35675,229900.0
67225,289000.0
30471,532000.0
7327,780000.0
52503,525000.0
50779,595000.0
45537,1199000.0
35988,900000.0
9088,1995000.0
36827,310000.0
3613,1300000.0
56459,659000.0
46265,899000.0
12691,1335000.0
32361,541522.0
34241,1599000.0
7776,140000.0
17026,440000.0
19516,1339000.0
29386,259900.0
49048,875000.0
35498,601490.0
26262,265000.0
40680,325000.0
23613,899900.0
9009,690000.0
14652,750000.0
52548,539900.0
37338,177000.0
66755,750000.0
938,799000.0
60836,126500.0
52085,898000.0
4066,745000.0
388,745000.0
1078,1425000.0
28584,165000.0
25710,1430000.0
12151,1549000.0
31079,679000.0
17120,969000.0
54864,1395000.0
7879,1549000.0
51400,419950.0
36207,310000.0
16821,449900.0
21476,1252000.0
55556,1849000.0
19507,329900.0
64641,675000.0
64022,1195000.0
54112,1788000.0
65034,329900.0
14743,669888.0
19286,1169999.0
36935,299000.0
56797,397500.0
67066,179000.0
40381,475000.0
6883,598000.0
40891,774900.0
34619,475000.0
56757,674900.0
39565,113000.0
31070,599900.0
61959,605000.0
26427,208900.0
5715,699000.0
5678,1200000.0
19472,699000.0
51461,535000.0
30062,899000.0
58320,579000.0
16320,325000.0
32805,639900.0
61909,475000.0
14500,380000.0
57299,480000.0
61071,129000.0
10475,1329000.0
63821,529000.0
18926,1488800.0
56131,799000.0
26751,410000.0
64640,999000.0
33545,598300.0
54123,949000.0
68597,599900.0
37447,199900.0
66130,350000.0
43534,795000.0
12285,367500.0
38948,97000.0
10911,719000.0
2843,1860000.0
57413,449900.0
45922,1095000.0
35022,799000.0
605,650000.0
19888,1285000.0
50935,849000.0
31440,189500.0
3021,1649000.0
7079,790000.0
49142,1299000.0
34328,605000.0
64806,724500.0
26837,530000.0
24603,599000.0
41886,505000.0
13684,674900.0
66098,479000.0
32534,125000.0
66092,599000.0
33543,520000.0
26916,290000.0
63200,550000.0
40249,417000.0
65017,475000.0
53905,679000.0
54602,799000.0
50306,775000.0
42301,359900.0
48479,720000.0
41404,519000.0
26003,297000.0
37713,350000.0
19644,299900.0
54204,700000.0
61348,1140000.0
20736,885000.0
7794,650000.0
6078,699000.0
30346,575000.0
25534,495000.0
4382,1499000.0
40822,384990.0
21319,1299000.0
49491,840000.0
47328,439000.0
29810,580000.0
52577,710000.0
20880,535000.0
56770,1499000.0
15498,788888.0
17863,1150000.0
52508,385000.0
63230,569000.0
6048,899000.0
55524,899000.0
66594,425000.0
46319,1699000.0
36578,442500.0
20084,1730000.0
53483,935000.0
41604,225000.0
7374,349000.0
26636,849900.0
16744,865000.0
36515,380000.0
31706,709990.0
30517,789995.0
51508,1099000.0
24460,415000.0
51721,299999.0
20634,927000.0
62678,495000.0
68036,1150000.0
58155,149000.0
14084,974990.0
6226,1150000.0
40504,590000.0
8518,1185000.0
11041,349000.0
57895,59900.0
39102,380000.0
63499,449900.0
12891,739000.0
66045,622103.0
49572,1399900.0
26860,609000.0
22691,400000.0
11644,739000.0
61522,749900.0
23382,449900.0
54420,899000.0
44150,1198000.0
44551,975000.0
16493,750000.0
61804,765000.0
18073,750000.0
7504,650000.0
18792,935000.0
50288,799901.0
21926,445000.0
53079,1595000.0
9095,699900.0
52666,599000.0
3023,959000.0
9396,1199000.0
40141,649900.0
55457,638000.0
1399,1500000.0
18601,729900.0
31514,449000.0
12329,800000.0
3203,629000.0
56083,399888.0
55792,390000.0
60855,175000.0
10583,750000.0
8997,950000.0
30525,480000.0
3539,650000.0
64701,1270050.0
65468,599000.0
25690,479000.0
474,1995000.0
42515,540000.0
26957,349900.0
23938,2088000.0
23337,875000.0
1112,880000.0
58035,549000.0
42494,550000.0
47716,538000.0
50987,989900.0
65207,325000.0
13806,1298000.0
62186,765000.0
39263,899900.0
21947,749000.0
14650,810000.0
68190,204500.0
46121,1859000.0
43463,674999.0
19739,749900.0
11524,950000.0
46111,1900000.0
34335,2099900.0
34242,2095000.0
21831,975000.0
10959,365000.0
54497,875000.0
20827,499000.0
7832,1300000.0
8038,975000.0
63118,1149000.0
39523,400000.0
30895,950000.0
30737,60000.0
44843,998000.0
66614,449970.0
21764,849875.0
34542,700000.0
55945,429000.0
47730,429888.0
22530,999000.0
52868,449900.0
6625,1599000.0
20976,219900.0
63512,699000.0
31555,569500.0
50047,1128000.0
65476,849000.0
15976,595000.0
50171,1988000.0
61363,629000.0
25416,385000.0
53623,1995000.0
48701,969000.0
35335,1270000.0
42949,624710.0
41020,299777.0
983,710000.0
15668,290000.0
47481,899000.0
25088,319000.0
59284,485000.0
17299,1849900.0
7876,649988.0
60762,95000.0
48720,1389000.0
41624,140000.0
35468,671000.0
8267,815000.0
9723,520000.0
63145,1275000.0
36840,1500000.0
29026,509000.0
24880,360000.0
29260,450000.0
58740,709000.0
53288,799000.0
48190,599000.0
27098,635000.0
50386,2095000.0
36451,170000.0
5872,535000.0
37305,454700.0
27231,1595000.0
34929,989900.0
2597,1100000.0
59541,399000.0
18429,1295000.0
23103,699000.0
8840,750000.0
52142,589888.0
11736,1200000.0
4647,897000.0
36205,849000.0
29554,545000.0
17597,699000.0
63849,640000.0
51669,769000.0
17418,999900.0
25586,685000.0
1590,1500000.0
2452,650000.0
37551,125000.0
30367,505000.0
67776,42000.0
48796,2100000.0
10540,1435000.0
1415,1199000.0
20296,1150000.0
57672,515000.0
61690,414950.0
12366,160000.0
66622,615990.0
47155,599000.0
37564,395000.0
33154,499500.0
33650,999000.0
33237,600000.0
62223,487900.0
10254,982500.0
46425,389000.0
40903,379900.0
18438,857000.0
21250,1950000.0
18955,209900.0
24651,1395000.0
1507,949000.0
4740,1270000.0
14798,649000.0
43739,1795000.0
16433,929000.0
62870,388000.0
65979,489000.0
44168,350000.0
9786,895000.0
54687,899950.0
43325,315000.0
42872,425000.0
11007,1475000.0
7084,549900.0
39707,75000.0
24411,569900.0
48574,1150000.0
34575,1098800.0
46037,1249000.0
51976,835000.0
37924,314900.0
63033,749800.0
6004,1200000.0
30283,520000.0
5978,580000.0
65820,1679000.0
24248,649000.0
50352,279900.0
26169,949000.0
27165,565000.0
11840,250000.0
57247,375000.0
59128,429900.0
53926,1050000.0
68092,175000.0
67760,764900.0
8905,850000.0
13971,825000.0
52707,550000.0
3784,1078888.0
7113,130000.0
68630,499900.0
18286,850000.0
10298,139900.0
6386,498000.0
45210,1399000.0
41144,465000.0
39943,250000.0
8480,749000.0
13824,875000.0
39954,129900.0
29065,237000.0
61131,745000.0
28736,369000.0
2651,1395000.0
58944,355000.0
1404,1750000.0
13547,816000.0
25601,437000.0
31350,368000.0
14085,709990.0
25816,479000.0
42605,480000.0
37326,99999.0
63248,459000.0
9910,550000.0
52033,670000.0
43152,578962.0
39438,360000.0
7550,1775000.0
62985,625000.0
326,779000.0
45489,449000.0
47960,895000.0
37231,695000.0
48572,759000.0
47704,450000.0
51678,769000.0
2568,439900.0
6357,220000.0
10629,999000.0
58592,115000.0
41380,425000.0
432,373000.0
37675,750000.0
43208,459000.0
9348,949000.0
15651,390000.0
56154,335000.0
778,675000.0
58586,419000.0
51296,550000.0
320,1449000.0
56489,499900.0
13952,1149900.0
19667,335000.0
27218,749000.0
15390,415000.0
35102,950000.0
18731,1550000.0
65961,498999.0
671,1429000.0
54979,950000.0
58636,717000.0
36478,494900.0
63428,599995.0
41142,485000.0
2339,429900.0
11790,1200000.0
23823,1650000.0
48276,580000.0
24444,750000.0
19660,329000.0
9367,1099000.0
57868,939000.0
3819,765000.0
45404,1780000.0
44399,1150000.0
18432,799000.0
47238,799950.0
59742,339000.0
32424,675000.0
55346,1499999.0
15307,575000.0
22414,789000.0
67386,1750000.0
13104,1195000.0
20915,315000.0
53508,1199000.0
36023,250000.0
45420,1995500.0
28382,220000.0
66042,639000.0
63520,549000.0
51538,420000.0
29132,478990.0
33092,749900.0
63190,589000.0
60099,795000.0
18132,1200000.0
23935,559900.0
5535,1290000.0
52446,399000.0
62610,681000.0
17919,1088000.0
46416,1999000.0
24985,145000.0
56145,685000.0
33756,895000.0
40035,1100000.0
60467,499000.0
57746,439950.0
5125,2125000.0
30386,449000.0
42953,279000.0
45755,1088000.0
3012,739990.0
29106,265000.0
25191,370000.0
40047,309000.0
63635,675000.0
28940,1750000.0
66055,599000.0
4960,1585000.0
46017,1495000.0
42491,1295000.0
17774,649000.0
33695,599950.0
54770,1175000.0
48013,1995000.0
15241,560000.0
7684,829000.0
33135,780000.0
62276,324900.0
45427,1130000.0
66410,780000.0
8159,599000.0
29477,357000.0
10333,788000.0
65519,700000.0
11126,799000.0
57889,480805.0
18388,925000.0
39556,215000.0
47140,1695000.0
39821,395000.0
37296,380000.0
29319,569777.0
61725,1575000.0
35993,375000.0
64110,739000.0
33061,620000.0
44630,1398000.0
46253,1195000.0
58066,399000.0
59006,259000.0
19750,1500000.0
12656,1225000.0
48173,1230000.0
34578,665900.0
18427,779000.0
39991,530000.0
4999,1295000.0
18994,74900.0
12795,469900.0
5997,725000.0
57004,575000.0
9063,168000.0
67065,699000.0
32155,519900.0
59446,269000.0
43778,1550000.0
718,420000.0
26525,610000.0
39529,319999.0
62530,140000.0
9913,340000.0
63983,1600000.0
10054,745000.0
50754,1400000.0
61983,427500.0
42861,585000.0
1132,959000.0
5800,1600000.0
17469,515000.0
491,550000.0
52769,829000.0
54673,1175000.0
11082,1299000.0
58579,435000.0
67878,1900000.0
67903,180000.0
20703,2100000.0
3987,999900.0
31373,599000.0
66576,485000.0
64227,574999.0
24994,459000.0
53531,1049000.0
66369,763075.0
23317,269000.0
56328,159000.0
44288,1095000.0
40615,879870.0
38858,575000.0
50104,1899900.0
239,849000.0
40111,499000.0
67830,589000.0
15501,950000.0
31920,549900.0
35919,450000.0
59652,775000.0
19007,104500.0
60197,449000.0
31345,449000.0
62448,560000.0
51810,899000.0
25136,365500.0
43792,699950.0
216,995000.0
61533,1075000.0
8353,679000.0
5431,649900.0
55777,439000.0
23494,1050000.0
40826,299000.0
54144,1050000.0
8391,699000.0
3339,780000.0
50604,799000.0
10622,120000.0
21188,258000.0
66140,199999.0
19637,949900.0
24615,674000.0
52359,579900.0
67075,445000.0
50879,428800.0
43346,295000.0
52169,649999.0
12592,1299000.0
2384,839000.0
42011,244900.0
30105,350000.0
24881,340000.0
5605,895000.0
30423,468000.0
53951,565000.0
41920,399888.0
39467,74900.0
4870,749000.0
25095,725000.0
30248,475000.0
13927,675000.0
51287,645000.0
63446,350000.0
13385,759000.0
60766,175000.0
51916,750000.0
64000,1148025.0
20712,1598000.0
19134,750000.0
14232,260000.0
65834,742340.0
11474,1095000.0
3309,969000.0
912,1440000.0
51243,525910.0
23796,539900.0
59182,360000.0
1177,569000.0
21819,569000.0
56746,810000.0
42618,449950.0
43142,485000.0
41822,355000.0
2070,540000.0
24143,600000.0
27581,360000.0
11484,799000.0
8044,575000.0
50689,799000.0
