,price
1306888,339900
1310004,350000
1279031,239900
1339382,529000
1352891,959000
1277208,649000
1268732,620000
1257395,699000
1336268,1395000
1280239,1000000
1356958,1490000
1310479,90000
1328855,1055000
1289187,1445000
1323529,625000
1309997,304900
1263404,1830000
1348875,837000
1320846,410000
1323134,1499000
1350331,10000000
1278374,1799000
1308885,179000
1263986,650000
1251640,275000
1340068,369000
1283551,1550000
1320291,447000
1279514,749900
1284024,949900
1353833,590000
1327220,1699000
1282473,450000
1268595,899000
1353097,525000
1289782,549900
1290184,615000
1270012,2388000
1270565,1099000
1332024,825000
1271098,389999
1325577,1195000
1347780,298000
1333386,585000
1272629,1100000
1293490,410000
1262928,799000
1352260,549000
1307196,949000
1330167,799000
1315932,239900
1325550,749000
1279364,850000
1319520,1199000
1274052,950000
1270835,825000
1326304,998000
1321918,712999
1330301,1350000
1347454,449900
1267439,799000
1338552,375000
1264858,4300000
1320725,650000
1326713,825000
1257482,1900000
1285938,1758000
1279149,350000
1310828,339000
1332980,1025000
1261703,2250000
1258307,455000
1300886,899900
1286541,5495000
1267531,3595000
1269580,389000
1274417,629000
1350039,789000
1316386,549000
1349458,582900
1341549,319900
1339212,3200000
1285991,299999
1328432,2995000
1348598,349000
1300204,350000
1263555,1125000
1300269,234999
1326667,3600000
1345422,695000
1305341,979000
1291508,1150000
1346841,899000
1286625,1350000
1342050,689000
1303944,499999
1318344,339000
1355663,560000
1332495,625000
1350961,819999
1291307,599900
1341494,700000
1337419,6995000
1262532,1685000
1349747,449000
1262043,968000
1326514,1300000
1294091,242900
1263892,565000
1258216,3088000
1358107,465000
1336158,1188000
1325368,1399000
1289714,689000
1312602,549000
1284560,836000
1325357,1985000
1352248,469900
1350689,599990
1284845,895000
1273553,849900
1304365,320000
1330907,499900
1307208,1325000
1261327,2995000
1264183,2895000
1272150,475000
1261127,1875000
1271761,11995000
1292849,1297000
1333661,1149000
1257166,609000
1311669,325000
1291916,795000
1301563,585000
1263900,509000
1336504,2750000
1279539,380000
1306116,2220000
1311517,335000
1312536,835900
1262974,2495000
1290428,899900
1285235,875000
1314039,269900
1308959,255000
1350926,959900
1269058,2350000
1346949,865000
1317041,645000
1292574,335000
1266018,995000
1304040,159000
1286332,250000
1266715,2200000
1340515,625000
1295315,2200000
1325959,975000
1262809,1599950
1268986,535000
1345758,1700000
1291531,179995
1284302,1800000
1266078,938000
1258015,449000
1321056,481630
1353604,950000
1282308,2000000
1271401,429000
1306911,2099000
1321556,330000
1317991,600000
1282125,239500
1287141,724900
1307794,5695000
1262540,1977000
1261281,799950
1278651,688888
1286594,129000
1340876,449950
1293860,410000
1276454,799000
1284478,550000
1333514,1050000
1267076,1749000
1294896,389000
1295474,548000
1354494,350000
1342932,375000
1346084,469000
1325353,1395000
1301523,999000
1334078,629950
1351065,654000
1349286,850000
1309791,499000
1331613,575000
1344131,349000
1317576,565000
1326678,399000
1282187,800000
1273334,2598800
1349919,825000
1303070,995000
1276240,595000
1331051,4950000
1358617,2950000
1259138,445000
1317947,585000
1300368,330900
1312317,779000
1282461,699999
1264967,889000
1253090,459999
1312504,989000
1300288,520000
1340862,435000
1339938,279000
1263363,899000
1346996,650000
1268390,10000000
1258193,549000
1341998,599999
1311711,359000
1309976,330500
1278612,860000
1268452,5450000
1320276,315000
1311664,229000
1344261,1100000
1313803,980000
1304129,459000
1274139,1199999
1269597,3990000
1326744,649000
1283101,999999
1282612,875000
1329189,655000
1331366,850000
1338555,374999
1318086,399900
1290086,349000
1271087,1270000
1328877,1350000
1285752,925000
1278352,550000
1304987,250000
1330430,1198000
1268953,1099000
1271478,1350000
1264531,799999
1293378,679000
1338033,1488888
1335813,4495000
1295904,455000
1349131,613000
1252902,1349000
1334500,450000
1276695,899900
1350660,754900
1341899,399900
1302919,1275000
1349655,425000
1261389,925000
1268102,1980000
1272691,425000
1325698,24500000
1262967,898000
1298599,599000
1335708,2988000
1263562,4999999
1349633,467900
1275417,680000
1282035,1199000
1322455,3080000
1286345,9750000
1282288,179000
1288715,1249000
1269469,2150000
1315285,525000
1316405,650000
1273830,899000
1329117,1675000
1351506,315000
1259442,675000
1265799,1125000
1274638,3670000
1335418,3150000
1294298,149900
1265780,574900
1347797,1075000
1278810,569000
1347001,679900
1300907,529900
1325347,865000
1268527,995000
1347912,549900
1328142,1199000
1274450,780000
1306201,275000
1278706,636000
1294395,550000
1263578,899000
1292347,999000
1279828,899000
1287960,999900
1262737,840000
1348543,489000
1351127,698000
1264867,725000
1267307,665000
1322420,1185000
1332882,1179000
1339820,349000
1264894,2990000
1263514,685000
1325307,1890000
1209118,325000
1328739,389000
1308811,775000
1277011,699000
1332847,2408888
1331142,568888
1358170,249500
1337055,1250000
1269832,745000
1336826,899950
1266294,310000
1331240,499000
1353435,749014
1286249,539000
1258219,29495000
1333728,390000
1319602,440000
1272599,765000
1308748,365000
1300693,294900
1271159,900000
1300867,329900
1260213,999999
1264721,699900
1295829,285000
1302572,450000
1279756,675990
1300872,618000
1258137,870000
1272414,990000
1289262,1649000
1306430,720000
1325682,1695000
1346729,1285000
1273888,3388888
1294303,252900
1270995,1299999
1348970,1149000
1262804,732000
1287799,475000
1325272,895000
1264986,1450000
1343401,405990
1291701,440000
1305096,589000
1263904,980000
1327200,1375000
1286195,649900
1259529,357500
1264611,390000
1273399,1059000
1340083,255000
1274829,539000
1286160,1375000
1313277,580000
1346090,279000
1273927,5000000
1318937,299900
1293173,742000
1323620,1490000
1291227,429900
1279408,980000
1319624,150000
1293147,1100000
1319175,315000
1342585,510000
1259422,1900000
1267295,2100000
1277093,650000
1320653,359997
1311611,1299000
1345319,382500
1333491,955495
1346566,1339900
1278340,509000
1278796,340000
1328125,799000
1348507,749000
1289818,850000
1257748,800000
1273110,1400000
1295123,269000
1346931,529100
1274373,840000
1268904,1250000
1343468,548000
1278997,730000
1310662,373835
1279930,624000
1289759,360000
1338961,439000
1352469,1850000
1329980,798000
1319325,499900
1257527,497375
1307921,725000
1309860,350000
1291935,399999
1284680,695000
1333274,939000
1257653,1150000
1281245,839000
1292346,419000
1331955,1595000
1320283,350000
1261323,1208000
1272555,699000
1346105,275000
1322603,2800000
1261580,1289000
1342487,559900
1327889,1595000
1345803,725000
1306854,1400000
1337641,1825000
1333294,1999000
1321978,3500000
1322178,875000
1271437,799000
1351199,989000
1348634,449900
1265575,1100000
1293220,2799000
1356316,499000
1344659,465000
1304826,699000
1315423,335000
1281222,900000
1277064,1399000
1327272,798000
1280254,515000
1275716,888000
1333216,2198000
1277049,2280000
1305986,819000
1306597,950000
1329937,1050000
1344369,325000
1293252,682000
1275591,710000
1274398,869000
1313549,579900
1316108,624900
1343661,800000
1262130,788000
1325210,379000
1285656,4998000
1324069,1450000
1341794,495000
1304603,799000
1311038,749900
1273328,315000
1352255,1100000
1307370,899999
1285717,1225000
1309141,375000
1354876,399000
